Tura,Symbol,Przewidywane,Sprzedaz
1,s1,0,74
1,s2,0,70
1,s3,0,89
1,s4,0,10
2,s1,0,89
2,s2,0,89
2,s3,0,89
2,s4,0,54
3,s1,0,60
3,s2,0,54
3,s3,0,89
3,s4,0,29
4,s1,0,89
4,s2,0,89
4,s3,0,89
4,s4,0,42
5,s1,0,89
5,s2,0,89
5,s3,0,89
5,s4,0,46
6,s1,0,66
6,s2,0,65
6,s3,0,89
6,s4,0,24
7,s1,0,58
7,s2,0,66
7,s3,0,89
7,s4,0,23
8,s1,0,89
8,s2,0,89
8,s3,0,89
8,s4,0,41
9,s1,0,89
9,s2,0,89
9,s3,0,89
9,s4,0,56
10,s1,0,89
10,s2,0,89
10,s3,0,89
10,s4,0,54
11,s1,0,89
11,s2,0,89
11,s3,0,89
11,s4,0,46
12,s1,0,89
12,s2,0,89
12,s3,0,89
12,s4,0,59
13,s1,0,65
13,s2,0,65
13,s3,0,89
13,s4,0,26
14,s1,0,89
14,s2,0,89
14,s3,0,89
14,s4,0,51
15,s1,0,60
15,s2,0,74
15,s3,0,89
15,s4,0,30
16,s1,0,65
16,s2,0,54
16,s3,0,89
16,s4,0,19
17,s1,0,60
17,s2,0,53
17,s3,0,89
17,s4,0,20
18,s1,0,89
18,s2,0,89
18,s3,0,89
18,s4,0,67
19,s1,0,89
19,s2,0,89
19,s3,0,89
19,s4,0,54
20,s1,0,72
20,s2,0,61
20,s3,0,89
20,s4,0,20
21,s1,81,81
21,s2,80,77
21,s3,149,149
21,s4,32,0
22,s1,81,81
22,s2,88,88
22,s3,157,157
22,s4,31,0
23,s1,88,88
23,s2,83,83
23,s3,162,162
23,s4,27,0
24,s1,86,86
24,s2,83,83
24,s3,166,166
24,s4,26,0
25,s1,86,86
25,s2,87,87
25,s3,153,153
25,s4,29,0
26,s1,79,50
26,s2,82,61
26,s3,160,160
26,s4,34,0
27,s1,90,90
27,s2,77,77
27,s3,156,156
27,s4,32,0
28,s1,87,87
28,s2,85,85
28,s3,158,158
28,s4,29,0
29,s1,83,83
29,s2,83,83
29,s3,157,157
29,s4,36,0
30,s1,90,49
30,s2,82,67
30,s3,155,155
30,s4,31,0
