Tura,Symbol,Cena,Oblozenie,Przychod
1,s1,7,74,518
1,s2,7,70,490
1,s3,7,89,623
1,s4,7,10,70
2,s1,7,89,623
2,s2,7,89,623
2,s3,7,89,623
2,s4,7,54,378
3,s1,7,60,420
3,s2,7,54,378
3,s3,7,89,623
3,s4,7,29,203
4,s1,7,89,623
4,s2,7,89,623
4,s3,7,89,623
4,s4,7,42,294
5,s1,7,89,623
5,s2,7,89,623
5,s3,7,89,623
5,s4,7,46,322
6,s1,7,66,462
6,s2,7,65,455
6,s3,7,89,623
6,s4,7,24,168
7,s1,7,58,406
7,s2,7,66,462
7,s3,7,89,623
7,s4,7,23,161
8,s1,7,89,623
8,s2,7,89,623
8,s3,7,89,623
8,s4,7,41,287
9,s1,7,89,623
9,s2,7,89,623
9,s3,7,89,623
9,s4,7,56,392
10,s1,7,89,623
10,s2,7,89,623
10,s3,7,89,623
10,s4,7,54,378
11,s1,7,89,623
11,s2,7,89,623
11,s3,7,89,623
11,s4,7,46,322
12,s1,7,89,623
12,s2,7,89,623
12,s3,7,89,623
12,s4,7,59,413
13,s1,7,65,455
13,s2,7,65,455
13,s3,7,89,623
13,s4,7,26,182
14,s1,7,89,623
14,s2,7,89,623
14,s3,7,89,623
14,s4,7,51,357
15,s1,7,60,420
15,s2,7,74,518
15,s3,7,89,623
15,s4,7,30,210
16,s1,7,65,455
16,s2,7,54,378
16,s3,7,89,623
16,s4,7,19,133
17,s1,7,60,420
17,s2,7,53,371
17,s3,7,89,623
17,s4,7,20,140
18,s1,7,89,623
18,s2,7,89,623
18,s3,7,89,623
18,s4,7,67,469
19,s1,7,89,623
19,s2,7,89,623
19,s3,7,89,623
19,s4,7,54,378
20,s1,7,72,504
20,s2,7,61,427
20,s3,7,89,623
20,s4,7,20,140
21,s1,7,81,567
21,s2,7,77,539
21,s3,7,149,1043
21,s4,7,0,0
22,s1,7,81,567
22,s2,7,88,616
22,s3,7,157,1099
22,s4,7,0,0
23,s1,7,88,616
23,s2,7,83,581
23,s3,7,162,1134
23,s4,7,0,0
24,s1,7,86,602
24,s2,7,83,581
24,s3,7,166,1162
24,s4,7,0,0
25,s1,7,86,602
25,s2,7,87,609
25,s3,7,153,1071
25,s4,7,0,0
26,s1,7,50,350
26,s2,7,61,427
26,s3,7,160,1120
26,s4,7,0,0
27,s1,7,90,630
27,s2,7,77,539
27,s3,7,156,1092
27,s4,7,0,0
28,s1,7,87,609
28,s2,7,85,595
28,s3,7,158,1106
28,s4,7,0,0
29,s1,7,83,581
29,s2,7,83,581
29,s3,7,157,1099
29,s4,7,0,0
30,s1,7,49,343
30,s2,7,67,469
30,s3,7,155,1085
30,s4,7,0,0
