Tura,Symbol,Koszt,Oblozenie,Koszt w turze
1,f1,1.3*f1**1.03,71,104.891296012750
1,f2,1.3*f2**1.03,213,325.217827131336
1,s1,1.1*s1**1.07,71,105.254123320670
1,s2,1.1*s2**1.07,71,105.254123320670
1,s3,1.1*s3**1.07,71,105.254123320670
1,s4,1.1*s4**1.07,71,105.254123320670
1,m1,1.2*m1**1.05,213,334.179519056127
1,m2,1.2*m2**1.05,71,105.439299557357
1,r1,1.78*r1**0.95,0,0
1,r2,0.195*r2**0.95,213,31.7683921204546
1,r3,1.83*r3**0.95,71,104.989657997283
1,r4,0.145*r4**0.95,0,0
1,r5,0.705*r5**0.95,71,40.4468354579698
1,r6,0.895*r6**0.95,0,0
1,r7,2.85*r7**0.95,0,0
1,r8,0.01*r8**0.95,71,0.573713978127232
1,r9,1.685*r9**0.95,71,96.6708053144386
1,r10,1.875*r10**0.95,0,0
1,r11,2.645*r11**0.95,71,151.747347214653
1,r12,2.835*r12**0.95,0,0
2,f1,1.3*f1**1.03,71,104.891296012750
2,f2,1.3*f2**1.03,213,325.217827131336
2,s1,1.1*s1**1.07,71,105.254123320670
2,s2,1.1*s2**1.07,71,105.254123320670
2,s3,1.1*s3**1.07,71,105.254123320670
2,s4,1.1*s4**1.07,71,105.254123320670
2,m1,1.2*m1**1.05,213,334.179519056127
2,m2,1.2*m2**1.05,71,105.439299557357
2,r1,1.78*r1**0.95,0,0
2,r2,0.195*r2**0.95,213,31.7683921204546
2,r3,1.83*r3**0.95,71,104.989657997283
2,r4,0.145*r4**0.95,0,0
2,r5,0.705*r5**0.95,71,40.4468354579698
2,r6,0.895*r6**0.95,0,0
2,r7,2.85*r7**0.95,0,0
2,r8,0.01*r8**0.95,71,0.573713978127232
2,r9,1.685*r9**0.95,71,96.6708053144386
2,r10,1.875*r10**0.95,0,0
2,r11,2.645*r11**0.95,71,151.747347214653
2,r12,2.835*r12**0.95,0,0
3,f1,1.3*f1**1.03,71,104.891296012750
3,f2,1.3*f2**1.03,213,325.217827131336
3,s1,1.1*s1**1.07,71,105.254123320670
3,s2,1.1*s2**1.07,71,105.254123320670
3,s3,1.1*s3**1.07,71,105.254123320670
3,s4,1.1*s4**1.07,71,105.254123320670
3,m1,1.2*m1**1.05,213,334.179519056127
3,m2,1.2*m2**1.05,71,105.439299557357
3,r1,1.78*r1**0.95,0,0
3,r2,0.195*r2**0.95,213,31.7683921204546
3,r3,1.83*r3**0.95,71,104.989657997283
3,r4,0.145*r4**0.95,0,0
3,r5,0.705*r5**0.95,71,40.4468354579698
3,r6,0.895*r6**0.95,0,0
3,r7,2.85*r7**0.95,0,0
3,r8,0.01*r8**0.95,71,0.573713978127232
3,r9,1.685*r9**0.95,71,96.6708053144386
3,r10,1.875*r10**0.95,0,0
3,r11,2.645*r11**0.95,71,151.747347214653
3,r12,2.835*r12**0.95,0,0
4,f1,1.3*f1**1.03,71,104.891296012750
4,f2,1.3*f2**1.03,213,325.217827131336
4,s1,1.1*s1**1.07,71,105.254123320670
