Tura,Symbol,Przewidywane,Sprzedaz
1,s1,0,58
1,s2,0,61
1,s3,0,71
1,s4,0,17
2,s1,0,71
2,s2,0,71
2,s3,0,71
2,s4,0,44
3,s1,0,71
3,s2,0,71
3,s3,0,71
3,s4,0,42
4,s1,0,71
4,s2,0,71
4,s3,0,71
4,s4,0,26
5,s1,0,64
5,s2,0,67
5,s3,0,71
5,s4,0,27
6,s1,0,71
6,s2,0,71
6,s3,0,71
6,s4,0,44
7,s1,0,71
7,s2,0,70
7,s3,0,71
7,s4,0,21
8,s1,0,64
8,s2,0,52
8,s3,0,71
8,s4,0,25
9,s1,0,71
9,s2,0,71
9,s3,0,71
9,s4,0,43
10,s1,0,68
10,s2,0,60
10,s3,0,71
10,s4,0,28
11,s1,0,71
11,s2,0,71
11,s3,0,71
11,s4,0,64
12,s1,0,71
12,s2,0,71
12,s3,0,71
12,s4,0,56
13,s1,0,61
13,s2,0,59
13,s3,0,71
13,s4,0,24
14,s1,0,71
14,s2,0,71
14,s3,0,71
14,s4,0,56
15,s1,0,71
15,s2,0,71
15,s3,0,71
15,s4,0,46
16,s1,0,69
16,s2,0,57
16,s3,0,71
16,s4,0,17
17,s1,0,71
17,s2,0,71
17,s3,0,71
17,s4,0,37
18,s1,0,71
18,s2,0,71
18,s3,0,71
18,s4,0,36
19,s1,0,71
19,s2,0,71
19,s3,0,71
19,s4,0,54
20,s1,0,64
20,s2,0,56
20,s3,0,71
20,s4,0,26
21,s1,58,58
21,s2,50,50
21,s3,90,90
21,s4,22,0
22,s1,55,55
22,s2,60,60
22,s3,108,108
22,s4,27,0
23,s1,55,55
23,s2,60,60
23,s3,99,99
23,s4,22,0
24,s1,49,49
24,s2,59,59
24,s3,95,95
24,s4,18,0
25,s1,54,54
25,s2,53,53
25,s3,99,99
25,s4,23,0
26,s1,62,54
26,s2,56,56
26,s3,105,105
26,s4,24,0
27,s1,62,62
27,s2,46,46
27,s3,95,95
27,s4,20,0
28,s1,60,60
28,s2,52,52
28,s3,106,106
28,s4,23,0
29,s1,54,53
29,s2,55,55
29,s3,102,102
29,s4,24,0
30,s1,54,54
30,s2,56,56
30,s3,99,99
30,s4,23,0
