Tura,Symbol,Cena,Oblozenie,Przychod
1,s1,7,58,406
1,s2,7,61,427
1,s3,7,71,497
1,s4,7,17,119
2,s1,7,71,497
2,s2,7,71,497
2,s3,7,71,497
2,s4,7,44,308
3,s1,7,71,497
3,s2,7,71,497
3,s3,7,71,497
3,s4,7,42,294
4,s1,7,71,497
4,s2,7,71,497
4,s3,7,71,497
4,s4,7,26,182
5,s1,7,64,448
5,s2,7,67,469
5,s3,7,71,497
5,s4,7,27,189
6,s1,7,71,497
6,s2,7,71,497
6,s3,7,71,497
6,s4,7,44,308
7,s1,7,71,497
7,s2,7,70,490
7,s3,7,71,497
7,s4,7,21,147
8,s1,7,64,448
8,s2,7,52,364
8,s3,7,71,497
8,s4,7,25,175
9,s1,7,71,497
9,s2,7,71,497
9,s3,7,71,497
9,s4,7,43,301
10,s1,7,68,476
10,s2,7,60,420
10,s3,7,71,497
10,s4,7,28,196
11,s1,7,71,497
11,s2,7,71,497
11,s3,7,71,497
11,s4,7,64,448
12,s1,7,71,497
12,s2,7,71,497
12,s3,7,71,497
12,s4,7,56,392
13,s1,7,61,427
13,s2,7,59,413
13,s3,7,71,497
13,s4,7,24,168
14,s1,7,71,497
14,s2,7,71,497
14,s3,7,71,497
14,s4,7,56,392
15,s1,7,71,497
15,s2,7,71,497
15,s3,7,71,497
15,s4,7,46,322
16,s1,7,69,483
16,s2,7,57,399
16,s3,7,71,497
16,s4,7,17,119
17,s1,7,71,497
17,s2,7,71,497
17,s3,7,71,497
17,s4,7,37,259
18,s1,7,71,497
18,s2,7,71,497
18,s3,7,71,497
18,s4,7,36,252
19,s1,7,71,497
19,s2,7,71,497
19,s3,7,71,497
19,s4,7,54,378
20,s1,7,64,448
20,s2,7,56,392
20,s3,7,71,497
20,s4,7,26,182
21,s1,7,58,406
21,s2,7,50,350
21,s3,7,90,630
21,s4,7,0,0
22,s1,7,55,385
22,s2,7,60,420
22,s3,7,108,756
22,s4,7,0,0
23,s1,7,55,385
23,s2,7,60,420
23,s3,7,99,693
23,s4,7,0,0
24,s1,7,49,343
24,s2,7,59,413
24,s3,7,95,665
24,s4,7,0,0
25,s1,7,54,378
25,s2,7,53,371
25,s3,7,99,693
25,s4,7,0,0
26,s1,7,54,378
26,s2,7,56,392
26,s3,7,105,735
26,s4,7,0,0
27,s1,7,62,434
27,s2,7,46,322
27,s3,7,95,665
27,s4,7,0,0
28,s1,7,60,420
28,s2,7,52,364
28,s3,7,106,742
28,s4,7,0,0
29,s1,7,53,371
29,s2,7,55,385
29,s3,7,102,714
29,s4,7,0,0
30,s1,7,54,378
30,s2,7,56,392
30,s3,7,99,693
30,s4,7,0,0
