Tura,Symbol,Oblozenie
1,t1,0
1,t2,71
1,t3,0
1,t4,0
1,t5,0
1,t6,0
1,t7,71
1,t8,0
1,t9,0
1,t10,71
1,t11,0
1,t12,0
1,t13,0
1,t14,71
1,t15,0
1,t16,0
2,t1,0
2,t2,71
2,t3,0
2,t4,0
2,t5,0
2,t6,0
2,t7,71
2,t8,0
2,t9,0
2,t10,71
2,t11,0
2,t12,0
2,t13,0
2,t14,71
2,t15,0
2,t16,0
3,t1,0
3,t2,71
3,t3,0
3,t4,0
3,t5,0
3,t6,0
3,t7,71
3,t8,0
3,t9,0
3,t10,71
3,t11,0
3,t12,0
3,t13,0
3,t14,71
3,t15,0
3,t16,0
4,t1,0
4,t2,71
4,t3,0
4,t4,0
4,t5,0
4,t6,0
4,t7,71
4,t8,0
4,t9,0
4,t10,71
4,t11,0
4,t12,0
4,t13,0
4,t14,71
4,t15,0
4,t16,0
5,t1,0
5,t2,71
5,t3,0
5,t4,0
5,t5,0
5,t6,0
5,t7,71
5,t8,0
5,t9,0
5,t10,71
5,t11,0
5,t12,0
5,t13,0
5,t14,71
5,t15,0
5,t16,0
6,t1,0
6,t2,71
6,t3,0
6,t4,0
6,t5,0
6,t6,0
6,t7,71
6,t8,0
6,t9,0
6,t10,71
6,t11,0
6,t12,0
6,t13,0
6,t14,71
6,t15,0
6,t16,0
7,t1,0
7,t2,71
7,t3,0
7,t4,0
7,t5,0
7,t6,0
7,t7,71
7,t8,0
7,t9,0
7,t10,71
7,t11,0
7,t12,0
7,t13,0
7,t14,71
7,t15,0
7,t16,0
8,t1,0
8,t2,71
8,t3,0
8,t4,0
8,t5,0
8,t6,0
8,t7,71
8,t8,0
8,t9,0
8,t10,71
8,t11,0
8,t12,0
8,t13,0
8,t14,71
8,t15,0
8,t16,0
9,t1,0
9,t2,71
9,t3,0
9,t4,0
9,t5,0
9,t6,0
9,t7,71
9,t8,0
9,t9,0
9,t10,71
9,t11,0
9,t12,0
9,t13,0
9,t14,71
9,t15,0
9,t16,0
10,t1,0
10,t2,71
10,t3,0
10,t4,0
10,t5,0
10,t6,0
10,t7,71
10,t8,0
10,t9,0
10,t10,71
10,t11,0
10,t12,0
10,t13,0
10,t14,71
10,t15,0
10,t16,0
11,t1,0
11,t2,71
11,t3,0
11,t4,0
11,t5,0
11,t6,0
11,t7,71
11,t8,0
11,t9,0
11,t10,71
11,t11,0
11,t12,0
11,t13,0
11,t14,71
11,t15,0
11,t16,0
12,t1,0
12,t2,71
12,t3,0
12,t4,0
12,t5,0
12,t6,0
12,t7,71
12,t8,0
12,t9,0
12,t10,71
12,t11,0
12,t12,0
12,t13,0
12,t14,71
12,t15,0
12,t16,0
13,t1,0
13,t2,71
13,t3,0
13,t4,0
13,t5,0
13,t6,0
13,t7,71
13,t8,0
13,t9,0
13,t10,71
13,t11,0
13,t12,0
13,t13,0
13,t14,71
13,t15,0
13,t16,0
14,t1,0
14,t2,71
14,t3,0
14,t4,0
14,t5,0
14,t6,0
14,t7,71
14,t8,0
14,t9,0
14,t10,71
14,t11,0
14,t12,0
14,t13,0
14,t14,71
14,t15,0
14,t16,0
15,t1,0
15,t2,71
15,t3,0
15,t4,0
15,t5,0
15,t6,0
15,t7,71
15,t8,0
15,t9,0
15,t10,71
15,t11,0
15,t12,0
15,t13,0
15,t14,71
15,t15,0
15,t16,0
16,t1,0
16,t2,71
16,t3,0
16,t4,0
16,t5,0
16,t6,0
16,t7,71
16,t8,0
16,t9,0
16,t10,71
16,t11,0
16,t12,0
16,t13,0
16,t14,71
16,t15,0
16,t16,0
17,t1,0
17,t2,71
17,t3,0
17,t4,0
17,t5,0
17,t6,0
17,t7,71
17,t8,0
17,t9,0
17,t10,71
17,t11,0
17,t12,0
17,t13,0
17,t14,71
17,t15,0
17,t16,0
18,t1,0
18,t2,71
18,t3,0
18,t4,0
18,t5,0
18,t6,0
18,t7,71
18,t8,0
18,t9,0
18,t10,71
18,t11,0
18,t12,0
18,t13,0
18,t14,71
18,t15,0
18,t16,0
19,t1,0
19,t2,71
19,t3,0
19,t4,0
19,t5,0
19,t6,0
19,t7,71
19,t8,0
19,t9,0
19,t10,71
19,t11,0
19,t12,0
19,t13,0
19,t14,71
19,t15,0
19,t16,0
20,t1,0
20,t2,71
20,t3,0
20,t4,0
20,t5,0
20,t6,0
20,t7,71
20,t8,0
20,t9,0
20,t10,71
20,t11,0
20,t12,0
20,t13,0
20,t14,71
20,t15,0
20,t16,0
21,t1,0
21,t2,58
21,t3,0
21,t4,0
21,t5,0
21,t6,0
21,t7,0
21,t8,50
21,t9,0
21,t10,90
21,t11,0
21,t12,0
21,t13,0
21,t14,0
21,t15,0
21,t16,0
22,t1,0
22,t2,55
22,t3,0
22,t4,0
22,t5,0
22,t6,0
22,t7,0
22,t8,60
22,t9,0
22,t10,108
22,t11,0
22,t12,0
22,t13,0
22,t14,0
22,t15,0
22,t16,0
23,t1,0
23,t2,55
23,t3,0
23,t4,0
23,t5,0
23,t6,0
23,t7,0
23,t8,60
23,t9,0
23,t10,99
23,t11,0
23,t12,0
23,t13,0
23,t14,0
23,t15,0
23,t16,0
24,t1,0
24,t2,49
24,t3,0
24,t4,0
