Tura,Symbol,Koszt,Efekt skali,Oblozenie,Koszt w turze
1,f1,1,1.05,22,25.67697243469354
1,f2,1,1.05,66,81.38064587934407
1,s1,1,1.05,22,25.67697243469354
1,s2,1,1.05,22,25.67697243469354
1,s3,1,1.05,22,25.67697243469354
1,s4,1,1.05,22,25.67697243469354
1,m1,1,1.05,44,53.16493782416031
1,m2,1,1.05,44,53.16493782416031
1,r1,0.2,0.95,0,0.0
1,r2,0.5,0.95,44,18.207488612167648
1,r3,0.505,0.95,22,9.519035027266337
1,r4,0.26,0.95,22,4.900889320968807
1,r5,0.505,0.95,0,0.0
1,r6,0.38,0.95,22,7.1628382383390266
1,r7,0.535,0.95,0,0.0
1,r8,0.35000000000000003,0.95,22,6.597351008996472
1,r9,0.485,0.95,22,9.142043541037967
1,r10,0.4,0.95,0,0.0
1,r11,0.6,0.95,22,11.309744586851094
1,r12,0.5700000000000001,0.95,0,0.0
2,f1,1,1.05,66,81.38064587934407
2,f2,1,1.05,22,25.67697243469354
2,s1,1,1.05,22,25.67697243469354
2,s2,1,1.05,22,25.67697243469354
2,s3,1,1.05,22,25.67697243469354
2,s4,1,1.05,22,25.67697243469354
2,m1,1,1.05,22,25.67697243469354
2,m2,1,1.05,66,81.38064587934407
2,r1,0.2,0.95,22,3.769914862283698
2,r2,0.5,0.95,0,0.0
2,r3,0.505,0.95,44,18.389563498289323
2,r4,0.26,0.95,22,4.900889320968807
2,r5,0.505,0.95,22,9.519035027266337
2,r6,0.38,0.95,0,0.0
2,r7,0.535,0.95,0,0.0
2,r8,0.35000000000000003,0.95,22,6.597351008996472
2,r9,0.485,0.95,0,0.0
2,r10,0.4,0.95,22,7.539829724567396
2,r11,0.6,0.95,0,0.0
2,r12,0.5700000000000001,0.95,22,10.744257357508541
3,f1,1,1.05,66,81.38064587934407
3,f2,1,1.05,22,25.67697243469354
3,s1,1,1.05,22,25.67697243469354
3,s2,1,1.05,22,25.67697243469354
3,s3,1,1.05,22,25.67697243469354
3,s4,1,1.05,22,25.67697243469354
3,m1,1,1.05,22,25.67697243469354
3,m2,1,1.05,66,81.38064587934407
3,r1,0.2,0.95,22,3.769914862283698
3,r2,0.5,0.95,0,0.0
3,r3,0.505,0.95,44,18.389563498289323
3,r4,0.26,0.95,22,4.900889320968807
3,r5,0.505,0.95,22,9.519035027266337
3,r6,0.38,0.95,0,0.0
3,r7,0.535,0.95,0,0.0
3,r8,0.35000000000000003,0.95,22,6.597351008996472
3,r9,0.485,0.95,0,0.0
3,r10,0.4,0.95,22,7.539829724567396
3,r11,0.6,0.95,0,0.0
3,r12,0.5700000000000001,0.95,22,10.744257357508541
4,f1,1,1.05,66,81.38064587934407
4,f2,1,1.05,22,25.67697243469354
4,s1,1,1.05,22,25.67697243469354
4,s2,1,1.05,22,25.67697243469354
4,s3,1,1.05,22,25.67697243469354
4,s4,1,1.05,22,25.67697243469354
4,m1,1,1.05,22,25.67697243469354
4,m2,1,1.05,66,81.38064587934407
4,r1,0.2,0.95,22,3.769914862283698
4,r2,0.5,0.95,0,0.0
4,r3,0.505,0.95,44,18.389563498289323
4,r4,0.26,0.95,22,4.900889320968807
4,r5,0.505,0.95,22,9.519035027266337
4,r6,0.38,0.95,0,0.0
4,r7,0.535,0.95,0,0.0
4,r8,0.35000000000000003,0.95,22,6.597351008996472
4,r9,0.485,0.95,0,0.0
4,r10,0.4,0.95,22,7.539829724567396
4,r11,0.6,0.95,0,0.0
4,r12,0.5700000000000001,0.95,22,10.744257357508541
5,f1,1,1.05,44,53.16493782416031
5,f2,1,1.05,44,53.16493782416031
