Tura,Symbol,Przychod,Koszt,Zysk
1,t1,147,104.5188826935474,42.4811173064526
1,t2,147,178.43004475036557,-31.430044750365568
1,t3,147,121.20075595915276,25.799244040847242
1,t4,147,172.28628369750575,-25.286283697505752
1,t5,112,104.5188826935474,7.481117306452603
1,t6,112,178.43004475036557,-66.43004475036557
1,t7,112,120.6352687298102,-8.635268729810207
1,t8,112,171.7207964681632,-59.7207964681632
1,t9,154,113.66092623458536,40.33907376541464
1,t10,154,187.57208829140353,-33.57208829140353
1,t11,154,114.03791772081374,39.96208227918626
1,t12,154,165.12344545916673,-11.123445459166732
1,t13,49,115.82862728039849,-66.82862728039849
1,t14,49,189.73978933721665,-140.73978933721665
1,t15,49,114.03791772081374,-65.03791772081374
1,t16,49,165.12344545916673,-116.12344545916673
2,t1,112,146.02354063828116,-34.02354063828116
2,t2,112,86.54995233134696,25.450047668653042
2,t3,112,206.82782769167102,-94.82782769167102
2,t4,112,137.63548006969995,-25.635480069699952
2,t5,154,136.50450561101482,17.49549438898518
2,t6,154,77.03091730408062,76.96908269591938
2,t7,154,213.4251787006675,-59.42517870066749
2,t8,154,144.23283107869642,9.767168921303579
2,t9,154,136.50450561101482,17.49549438898518
2,t10,154,77.03091730408062,76.96908269591938
2,t11,154,214.36765741623842,-60.367657416238416
2,t12,154,145.17530979426735,8.82469020573265
2,t13,35,136.50450561101482,-101.50450561101482
2,t14,35,77.03091730408062,-42.03091730408062
2,t15,35,217.57208504917955,-182.57208504917955
2,t16,35,148.37973742720848,-113.37973742720848
3,t1,154,146.02354063828116,7.976459361718838
3,t2,154,86.54995233134696,67.45004766865304
3,t3,154,206.82782769167102,-52.82782769167102
3,t4,154,137.63548006969995,16.364519930300048
3,t5,140,136.50450561101482,3.495494388985179
3,t6,140,77.03091730408062,62.96908269591938
3,t7,140,213.4251787006675,-73.42517870066749
3,t8,140,144.23283107869642,-4.232831078696421
3,t9,154,136.50450561101482,17.49549438898518
3,t10,154,77.03091730408062,76.96908269591938
3,t11,154,214.36765741623842,-60.367657416238416
3,t12,154,145.17530979426735,8.82469020573265
3,t13,84,136.50450561101482,-52.50450561101482
3,t14,84,77.03091730408062,6.969082695919383
3,t15,84,217.57208504917955,-133.57208504917955
3,t16,84,148.37973742720848,-64.37973742720848
4,t1,154,146.02354063828116,7.976459361718838
4,t2,154,86.54995233134696,67.45004766865304
4,t3,154,206.82782769167102,-52.82782769167102
4,t4,154,137.63548006969995,16.364519930300048
4,t5,98,136.50450561101482,-38.50450561101482
4,t6,98,77.03091730408062,20.969082695919383
4,t7,98,213.4251787006675,-115.42517870066749
4,t8,98,144.23283107869642,-46.23283107869642
4,t9,154,136.50450561101482,17.49549438898518
4,t10,154,77.03091730408062,76.96908269591938
4,t11,154,214.36765741623842,-60.367657416238416
4,t12,154,145.17530979426735,8.82469020573265
4,t13,49,136.50450561101482,-87.50450561101482
4,t14,49,77.03091730408062,-28.030917304080617
4,t15,49,217.57208504917955,-168.57208504917955
4,t16,49,148.37973742720848,-99.37973742720848
5,t1,119,205.72353134610904,-86.72353134610904
5,t2,119,216.64802451340964,-97.64802451340964
5,t3,119,78.84191025885386,40.15808974114614
5,t4,119,78.84191025885386,40.15808974114614
5,t5,154,206.2890185754516,-52.28901857545159
5,t6,154,217.2135117427522,-63.21351174275219
5,t7,154,78.84191025885386,75.15808974114614
5,t8,154,78.84191025885386,75.15808974114614
5,t9,154,205.34653985988066,-51.346539859880664
5,t10,154,216.27103302718126,-62.27103302718126
5,t11,154,78.84191025885386,75.15808974114614
5,t12,154,78.84191025885386,75.15808974114614
5,t13,77,207.51424090569378,-130.51424090569378
5,t14,77,218.43873407299438,-141.43873407299438
5,t15,77,78.84191025885386,-1.8419102588538578
5,t16,77,78.84191025885386,-1.8419102588538578
6,t1,119,136.50450561101482,-17.50450561101482
