Tura,Symbol,Cena,Oblozenie,Przychod
1,s1,7,22,154
1,s2,7,18,126
1,s3,7,22,154
1,s4,7,7,49
2,s1,7,13,91
2,s2,7,22,154
2,s3,7,22,154
2,s4,7,5,35
3,s1,7,13,91
3,s2,7,21,147
3,s3,7,22,154
3,s4,7,5,35
4,s1,7,12,84
4,s2,7,11,77
4,s3,7,21,147
4,s4,7,3,21
5,s1,7,11,77
5,s2,7,10,70
5,s3,7,24,168
5,s4,7,3,21
6,s1,7,13,91
6,s2,7,13,91
6,s3,7,25,175
6,s4,7,4,28
7,s1,7,12,84
7,s2,7,12,84
7,s3,7,25,175
7,s4,7,3,21
8,s1,7,12,84
8,s2,7,11,77
8,s3,7,24,168
8,s4,7,5,35
9,s1,7,12,84
9,s2,7,12,84
9,s3,7,25,175
9,s4,7,5,35
