Tura,Symbol,Przychod,Koszt,Zysk
1,t1,154,103.51,50.489999999999995
1,t2,154,99.11,54.89
1,t3,154,143.11,10.889999999999986
1,t4,154,143.44,10.560000000000002
1,t5,126,92.4,33.599999999999994
1,t6,126,88.0,38.0
1,t7,126,150.81,-24.810000000000002
1,t8,126,151.14,-25.139999999999986
1,t9,154,92.4,61.599999999999994
1,t10,154,88.0,66.0
1,t11,154,151.91000000000003,2.089999999999975
1,t12,154,152.24,1.759999999999991
1,t13,49,92.4,-43.400000000000006
1,t14,49,88.0,-39.0
1,t15,49,155.65,-106.65
1,t16,49,155.98,-106.97999999999999
2,t1,91,147.51,-56.50999999999999
2,t2,91,165.11,-74.11000000000001
2,t3,91,99.11,-8.11
2,t4,91,88.0,3.0
2,t5,154,148.17000000000002,5.829999999999984
2,t6,154,165.77,-11.77000000000001
2,t7,154,99.11,54.89
2,t8,154,88.0,66.0
2,t9,154,136.4,17.599999999999994
2,t10,154,154.0,0.0
2,t11,154,107.91,46.09
2,t12,154,96.8,57.2
2,t13,35,149.6,-114.6
2,t14,35,167.2,-132.2
2,t15,35,99.11,-64.11
2,t16,35,88.0,-53.0
3,t1,91,92.4,-1.4000000000000057
3,t2,91,143.0,-52.0
3,t3,91,96.36,-5.359999999999999
3,t4,91,151.8,-60.80000000000001
3,t5,147,104.17,42.83
3,t6,147,154.77,-7.77000000000001
3,t7,147,88.0,59.0
3,t8,147,143.44,3.5600000000000023
3,t9,154,92.4,61.599999999999994
3,t10,154,143.0,11.0
3,t11,154,96.8,57.2
3,t12,154,152.24,1.759999999999991
3,t13,35,105.60000000000001,-70.60000000000001
3,t14,35,156.2,-121.19999999999999
3,t15,35,88.0,-53.0
3,t16,35,143.44,-108.44
4,t1,84,18.6,65.4
4,t2,84,59.0,25.0
4,t3,84,63.56,20.439999999999998
4,t4,84,116.0,-32.0
4,t5,77,17.6,59.4
4,t6,77,58.0,19.0
4,t7,77,61.85,15.149999999999999
4,t8,77,114.28999999999999,-37.28999999999999
4,t9,147,27.6,119.4
4,t10,147,68.0,79.0
4,t11,147,76.4,70.6
4,t12,147,128.84,18.159999999999997
4,t13,21,11.399999999999999,9.600000000000001
4,t14,21,51.8,-30.799999999999997
4,t15,21,50.0,-29.0
4,t16,21,102.44,-81.44
5,t1,77,17.6,59.4
5,t2,77,59.0,18.0
5,t3,77,63.18,13.82
5,t4,77,116.88,-39.879999999999995
5,t5,70,16.6,53.4
5,t6,70,58.0,12.0
5,t7,70,61.5,8.5
5,t8,70,115.2,-45.2
5,t9,168,30.6,137.4
5,t10,168,72.0,96.0
5,t11,168,81.6,86.4
5,t12,168,135.3,32.69999999999999
5,t13,21,11.399999999999999,9.600000000000001
5,t14,21,52.8,-31.799999999999997
5,t15,21,51.0,-30.0
5,t16,21,104.7,-83.7
6,t1,91,21.8,69.2
6,t2,91,68.0,23.0
6,t3,91,72.94,18.060000000000002
6,t4,91,133.2,-42.19999999999999
6,t5,91,21.8,69.2
6,t6,91,68.0,23.0
6,t7,91,72.55,18.450000000000003
6,t8,91,132.81,-41.81
6,t9,175,33.8,141.2
6,t10,175,80.0,95.0
6,t11,175,90.0,85.0
6,t12,175,150.26,24.74000000000001
6,t13,28,15.200000000000001,12.799999999999999
6,t14,28,61.4,-33.4
6,t15,28,59.0,-31.0
6,t16,28,119.26,-91.26
7,t1,84,23.0,61.0
7,t2,84,66.0,18.0
7,t3,84,70.56,13.439999999999998
7,t4,84,127.3,-43.3
7,t5,84,23.0,61.0
7,t6,84,66.0,18.0
7,t7,84,70.2,13.799999999999997
7,t8,84,126.94,-42.94
7,t9,175,36.0,139.0
7,t10,175,79.0,96.0
7,t11,175,89.0,86.0
7,t12,175,145.74,29.25999999999999
7,t13,21,19.0,2.0
7,t14,21,62.0,-41.0
7,t15,21,59.0,-38.0
7,t16,21,115.74,-94.74
8,t1,84,23.0,61.0
8,t2,84,64.0,20.0
8,t3,84,68.56,15.439999999999998
8,t4,84,122.78,-38.78
8,t5,77,22.0,55.0
8,t6,77,63.0,14.0
8,t7,77,66.85,10.150000000000006
8,t8,77,121.07,-44.06999999999999
8,t9,168,35.0,133.0
8,t10,168,76.0,92.0
8,t11,168,85.6,82.4
8,t12,168,139.82,28.180000000000007
8,t13,35,19.0,16.0
8,t14,35,60.0,-25.0
8,t15,35,57.0,-22.0
8,t16,35,111.22,-76.22
9,t1,84,23.0,61.0
9,t2,84,67.0,17.0
9,t3,84,71.56,12.439999999999998
9,t4,84,129.56,-45.56
9,t5,84,24.0,60.0
9,t6,84,68.0,16.0
9,t7,84,72.55,11.450000000000003
9,t8,84,130.55,-46.55000000000001
9,t9,175,36.0,139.0
9,t10,175,80.0,95.0
9,t11,175,90.0,85.0
9,t12,175,148.0,27.0
9,t13,35,19.0,16.0
9,t14,35,63.0,-28.0
9,t15,35,60.0,-25.0
9,t16,35,118.0,-83.0
