Tura,Symbol,Koszt,Oblozenie,Koszt w turze
1,f1,1.3*f1**1.03,174,264.063927289915
1,f2,1.3*f2**1.03,174,264.063927289915
1,s1,1.1*s1**1.07,87,130.821247274132
1,s2,1.1*s2**1.07,87,130.821247274132
1,s3,1.1*s3**1.07,87,130.821247274132
1,s4,1.1*s4**1.07,87,130.821247274132
1,m1,1.2*m1**1.05,261,413.669764192044
1,m2,1.2*m2**1.05,87,130.519818532447
1,r1,1.78*r1**0.95,174,239.299498342408
1,r2,0.195*r2**0.95,87,13.5699391855935
1,r3,1.83*r3**0.95,0,0
1,r4,0.145*r4**0.95,87,10.0904675995439
1,r5,0.705*r5**0.95,87,49.0605493632996
1,r6,0.895*r6**0.95,0,0
1,r7,2.85*r7**0.95,0,0
1,r8,0.01*r8**0.95,87,0.695894317209923
1,r9,1.685*r9**0.95,87,117.258192449872
1,r10,1.875*r10**0.95,0,0
1,r11,2.645*r11**0.95,87,184.064046902025
1,r12,2.835*r12**0.95,0,0
2,f1,1.3*f1**1.03,174,264.063927289915
2,f2,1.3*f2**1.03,174,264.063927289915
2,s1,1.1*s1**1.07,87,130.821247274132
2,s2,1.1*s2**1.07,87,130.821247274132
2,s3,1.1*s3**1.07,87,130.821247274132
2,s4,1.1*s4**1.07,87,130.821247274132
2,m1,1.2*m1**1.05,261,413.669764192044
2,m2,1.2*m2**1.05,87,130.519818532447
2,r1,1.78*r1**0.95,174,239.299498342408
2,r2,0.195*r2**0.95,87,13.5699391855935
2,r3,1.83*r3**0.95,0,0
2,r4,0.145*r4**0.95,87,10.0904675995439
2,r5,0.705*r5**0.95,87,49.0605493632996
2,r6,0.895*r6**0.95,0,0
2,r7,2.85*r7**0.95,0,0
2,r8,0.01*r8**0.95,87,0.695894317209923
2,r9,1.685*r9**0.95,87,117.258192449872
2,r10,1.875*r10**0.95,0,0
2,r11,2.645*r11**0.95,87,184.064046902025
2,r12,2.835*r12**0.95,0,0
3,f1,1.3*f1**1.03,174,264.063927289915
3,f2,1.3*f2**1.03,174,264.063927289915
3,s1,1.1*s1**1.07,87,130.821247274132
3,s2,1.1*s2**1.07,87,130.821247274132
3,s3,1.1*s3**1.07,87,130.821247274132
