Tura,Symbol,Przewidywane,Sprzedaz
1,s1,0,63
1,s2,0,65
1,s3,0,87
1,s4,0,19
2,s1,0,87
2,s2,0,87
2,s3,0,87
2,s4,0,43
3,s1,0,58
3,s2,0,51
3,s3,0,87
3,s4,0,23
4,s1,0,87
4,s2,0,87
4,s3,0,87
4,s4,0,45
5,s1,0,79
5,s2,0,85
5,s3,0,87
5,s4,0,28
6,s1,0,51
6,s2,0,50
6,s3,0,87
6,s4,0,21
7,s1,0,87
7,s2,0,87
7,s3,0,87
7,s4,0,55
8,s1,0,61
8,s2,0,58
8,s3,0,87
8,s4,0,23
9,s1,0,72
9,s2,0,65
9,s3,0,87
9,s4,0,34
10,s1,0,63
10,s2,0,67
10,s3,0,87
10,s4,0,25
11,s1,0,87
11,s2,0,87
11,s3,0,87
11,s4,0,61
12,s1,0,87
12,s2,0,87
12,s3,0,87
12,s4,0,61
13,s1,0,87
13,s2,0,87
13,s3,0,87
13,s4,0,57
14,s1,0,62
14,s2,0,74
14,s3,0,87
14,s4,0,21
15,s1,0,71
15,s2,0,66
15,s3,0,87
15,s4,0,34
16,s1,0,75
16,s2,0,55
16,s3,0,87
16,s4,0,24
17,s1,0,87
17,s2,0,87
17,s3,0,87
17,s4,0,56
18,s1,0,74
18,s2,0,70
18,s3,0,87
18,s4,0,21
19,s1,0,87
19,s2,0,87
19,s3,0,87
19,s4,0,54
20,s1,0,87
20,s2,0,87
20,s3,0,87
20,s4,0,45
