Prawdziwy,LM,K-Mean
1,[ 0.87657894  0.12342106],[ 0.9  0.1]
0,[ 0.88629883  0.11370117],[ 1.  0.]
0,[ 0.90046779  0.09953221],[ 1.  0.]
0,[ 0.82605786  0.17394214],[ 0.9  0.1]
0,[ 0.85836459  0.14163541],[ 1.  0.]
0,[ 0.61318946  0.38681054],[ 0.5  0.5]
0,[ 0.90712088  0.09287912],[ 1.  0.]
0,[ 0.93323878  0.06676122],[ 0.6  0.4]
0,[ 0.91347069  0.08652931],[ 1.  0.]
0,[ 0.6303164  0.3696836],[ 0.8  0.2]
0,[ 0.80263569  0.19736431],[ 0.7  0.3]
0,[ 0.87866918  0.12133082],[ 0.8  0.2]
0,[ 0.8819374  0.1180626],[ 0.9  0.1]
0,[ 0.92072111  0.07927889],[ 1.  0.]
0,[ 0.8658284  0.1341716],[ 0.9  0.1]
0,[ 0.81631647  0.18368353],[ 0.7  0.3]
0,[ 0.83468775  0.16531225],[ 0.8  0.2]
0,[ 0.91992596  0.08007404],[ 0.9  0.1]
0,[ 0.82543664  0.17456336],[ 0.9  0.1]
0,[ 0.91642102  0.08357898],[ 0.8  0.2]
0,[ 0.86939109  0.13060891],[ 1.  0.]
0,[ 0.93632973  0.06367027],[ 0.8  0.2]
0,[ 0.90718468  0.09281532],[ 1.  0.]
0,[ 0.77086092  0.22913908],[ 0.4  0.6]
0,[ 0.8658284  0.1341716],[ 0.9  0.1]
1,[ 0.80251567  0.19748433],[ 0.8  0.2]
0,[ 0.91555834  0.08444166],[ 1.  0.]
0,[ 0.90046779  0.09953221],[ 1.  0.]
0,[ 0.93058573  0.06941427],[ 0.8  0.2]
0,[ 0.92912335  0.07087665],[ 0.9  0.1]
0,[ 0.91518023  0.08481977],[ 0.9  0.1]
0,[ 0.80319962  0.19680038],[ 0.8  0.2]
0,[ 0.91378444  0.08621556],[ 1.  0.]
1,[ 0.82144468  0.17855532],[ 0.7  0.3]
0,[ 0.90314727  0.09685273],[ 0.8  0.2]
0,[ 0.82605786  0.17394214],[ 0.9  0.1]
0,[ 0.92487505  0.07512495],[ 0.9  0.1]
0,[ 0.83036314  0.16963686],[ 0.9  0.1]
