Prawdziwy;Lm;KM
1;0.12342106;0.1
0;0.11370117;0.
0;0.09953221;0.
0;0.17394214;0.1
0;0.14163541;0.
0;0.38681054;0.5
0;0.09287912;0.
0;0.06676122;0.4
0;0.08652931;0.
0;0.3696836;0.2
0;0.19736431;0.3
0;0.12133082;0.2
0;0.1180626;0.1
0;0.07927889;0.
0;0.1341716;0.1
0;0.18368353;0.3
0;0.16531225;0.2
0;0.08007404;0.1
0;0.17456336;0.1
0;0.08357898;0.2
0;0.13060891;0.
0;0.06367027;0.2
0;0.09281532;0.
0;0.22913908;0.6
0;0.1341716;0.1
1;0.19748433;0.2
0;0.08444166;0.
0;0.09953221;0.
0;0.06941427;0.2
0;0.07087665;0.1
0;0.08481977;0.1
0;0.19680038;0.2
0;0.08621556;0.
1;0.17855532;0.3
0;0.09685273;0.2
0;0.17394214;0.1
0;0.07512495;0.1
0;0.16963686;0.1
0;0.06367027;0.2
0;0.15333017;0.
1;0.10338155;0.3
0;0.08357898;0.2
0;0.22864446;0.5
0;0.10037377;0.
0;0.08437194;0.
0;0.10636432;0.2
0;0.16482109;0.
0;0.25713965;0.2
1;0.16520776;0.1
0;0.13020522;0.
0;0.08621556;0.
0;0.08206339;0.1
0;0.2512593;0.1
0;0.14111135;0.2
0;0.13425962;0.
0;0.11233106;0.3
1;0.09974303;0.4
0;0.17405101;0.1
1;0.16691296;0.1
0;0.17405101;0.1
0;0.20244643;0.1
1;0.0919076;0.2
0;0.12342106;0.1
1;0.21715227;0.6
1;0.11362486;0.1
0;0.07970131;0.
0;0.10345178;0.3
1;0.08410879;0.1
0;0.11123022;0.2
0;0.08250007;0.1
0;0.11123022;0.2
0;0.17560883;0.1
0;0.19429936;0.1
0;0.06748482;0.2
0;0.13160609;0.1
1;0.08646946;0.1
0;0.08405045;0.2
0;0.06845177;0.1
0;0.10037377;0.
0;0.13060891;0.
1;0.22260262;0.6
0;0.23976939;0.1
1;0.24041888;0.4
0;0.22370623;0.3
0;0.11798376;0.
0;0.17116336;0.1
0;0.13384638;0.1
0;0.10636432;0.2
1;0.1924967;0.2
0;0.09287912;0.
0;0.16902904;0.
0;0.08386118;0.
0;0.09817248;0.1
0;0.27516149;0.5
0;0.08470576;0.
0;0.06362513;0.
1;0.16482109;0.
0;0.19932217;0.
0;0.08357898;0.2
0;0.08007404;0.1
0;0.08652931;0.
0;0.08901273;0.
0;0.14934651;0.1
0;0.09817248;0.1
0;0.09098819;0.
0;0.07299795;0.1
0;0.08914195;0.
0;0.1568287;0.1
0;0.13384638;0.1
0;0.12712693;0.1
0;0.08018236;0.2
0;0.19305066;0.3
0;0.18729353;0.
0;0.14834804;0.1
0;0.18025657;0.
0;0.08200635;0.
0;0.09546029;0.
0;0.08901273;0.
0;0.26310926;0.1
0;0.08386118;0.
0;0.09281532;0.
1;0.10102189;0.
0;0.10102189;0.
1;0.09256649;0.
1;0.13343377;0.1
1;0.10054149;0.3
1;0.08476451;0.2
0;0.06180196;0.
0;0.17405101;0.1
0;0.13069494;0.
0;0.13020522;0.
0;0.11123022;0.2
0;0.07572447;0.2
0;0.08145195;0.2
0;0.15740044;0.1
0;0.08748556;0.2
0;0.07040679;0.
0;0.07092655;0.
0;0.24480953;0.2
