Tura,Symbol,Cena,Oblozenie,Przychod
1,s1,7,63,441
1,s2,7,65,455
1,s3,7,87,609
1,s4,7,19,133
2,s1,7,87,609
2,s2,7,87,609
2,s3,7,87,609
2,s4,7,43,301
3,s1,7,58,406
3,s2,7,51,357
3,s3,7,87,609
3,s4,7,23,161
4,s1,7,87,609
4,s2,7,87,609
4,s3,7,87,609
4,s4,7,45,315
5,s1,7,79,553
5,s2,7,85,595
5,s3,7,87,609
5,s4,7,28,196
6,s1,7,51,357
6,s2,7,50,350
6,s3,7,87,609
6,s4,7,21,147
7,s1,7,87,609
7,s2,7,87,609
7,s3,7,87,609
7,s4,7,55,385
8,s1,7,61,427
8,s2,7,58,406
8,s3,7,87,609
8,s4,7,23,161
9,s1,7,72,504
9,s2,7,65,455
9,s3,7,87,609
9,s4,7,34,238
10,s1,7,63,441
10,s2,7,67,469
10,s3,7,87,609
10,s4,7,25,175
11,s1,7,87,609
11,s2,7,87,609
11,s3,7,87,609
11,s4,7,61,427
12,s1,7,87,609
12,s2,7,87,609
12,s3,7,87,609
12,s4,7,61,427
13,s1,7,87,609
13,s2,7,87,609
13,s3,7,87,609
13,s4,7,57,399
14,s1,7,62,434
14,s2,7,74,518
14,s3,7,87,609
14,s4,7,21,147
15,s1,7,71,497
15,s2,7,66,462
15,s3,7,87,609
15,s4,7,34,238
16,s1,7,75,525
16,s2,7,55,385
16,s3,7,87,609
16,s4,7,24,168
17,s1,7,87,609
17,s2,7,87,609
17,s3,7,87,609
17,s4,7,56,392
18,s1,7,74,518
18,s2,7,70,490
18,s3,7,87,609
18,s4,7,21,147
19,s1,7,87,609
19,s2,7,87,609
19,s3,7,87,609
19,s4,7,54,378
20,s1,7,87,609
20,s2,7,87,609
20,s3,7,87,609
20,s4,7,45,315
